school_name,voluntary_contributions_2015,subject_contributions_2015
Abbotsford Public School                                                                            ,"$50,007",$15
Aberdeen Public School                                                                              ,"$2,189",$289
Abermain Public School                                                                              ,$0,$0
Adaminaby Public School                                                                             ,$0,$0
Adamstown Public School                                                                             ,"$4,670",$0
Adelong Public School      ,$0,$0
Afterlee Public School     ,$0,$0
Airds High School,$0,"$11,217"
Ajuga School ,$450,$0
Albert Park Public School,$120,$0
Albion Park High School,"$11,548","$40,013"
Albion Park Public School ,"$3,835",$0
Albion Park Rail Public School,$785,$0
Albury High School    ,"$29,958","$44,627"
Albury North Public School ,"$1,440",$0
Albury Public School,"$12,437",$0
Albury West Public School  ,$0,$0
Aldavilla Public School  ,"$2,575","$1,765"
Alexandria Park Community School  ,"$11,046","$8,155"
Alfords Point Public School     ,"$4,716",$0
Allambie Heights Public School   ,"$17,105",$0
Alma Public School ,$0,$0
Alstonville High School    ,"$50,580","$39,667"
Alstonville Public School  ,"$8,700","$12,450"
Ambarvale High School     ,"$12,334","$23,814"
Ambarvale Public School,$0,$0
Anna Bay Public School ,"$4,190",$25
Annandale North Public School ,"$53,294","$107,672"
Annandale Public School,"$22,170","$21,408"
Annangrove Public School ,"$2,920",$0
Anson Street School ,$0,$0
Appin Public School  ,"$5,146",$0
Arcadia Public School,"$3,815","$5,128"
Arcadia Vale Public School,"$1,448",$0
Ardlethan Central School,$788,$995
Argenton Public School,$0,$0
Ariah Park Central School,"$2,535","$10,841"
Armidale City Public School,"$10,450",$0
Armidale High School,"$16,018","$36,759"
Arncliffe Public School,"$13,413",$0
Arncliffe West Infants School,"$1,440",$0
Arndell School,$0,$0
Arranounbai School,"$2,075","$7,351"
Artarmon Public School,$60,$194
Arthur Phillip High School,$0,"$92,587"
Ashbury Public School,"$12,042","$12,950"
Ashcroft High School,"$4,495","$13,162"
Ashcroft Public School,$0,$0
Ashfield Boys High School,"$15,647","$88,666"
Ashfield Public School,"$10,453","$6,570"
Ashford Central School,"$2,421","$4,274"
Ashmont Public School,$0,$0
Ashtonfield Public School,"$42,161",$0
Asquith Boys High School,"$43,262","$72,609"
Asquith Girls High School,"$60,485","$173,312"
Asquith Public School,"$15,973",$0
Athelstane Public School,"$7,185",$0
Attunga Public School,$0,$0
Auburn Girls High School,"$15,285","$18,546"
Auburn North Public School,"$9,338",$0
Auburn Public School,$0,$0
Auburn West Public School,"$5,754",$773
Aurora College,$0,$0
Austinmer Public School,"$11,932",$0
Austral Public School,"$3,310",$0
Australia Street Infants School,"$52,473","$24,725"
Avalon Public School ,"$60,771","$80,317"
Avoca Beach Public School ,"$12,691",$0
Avoca Public School ,$520,$0
Awaba Public School ,$200,$0
Badgerys Creek Public School ,$0,$0
Balarang Public School ,"$2,810","$11,355"
Bald Blair Public School ,"$1,900",$0
Bald Face Public School ,$0,"$31,386"
Balgowlah Heights Public School ,$0,"$203,294"
Balgowlah North Public School ,"$35,880","$57,992"
Balgownie Public School ,"$9,115",$0
Ballimore Public School ,$510,$0
Ballina High School ,"$10,183","$22,078"
Ballina Public School ,$470,$0
Balmain Public School ,$0,$0
Balranald Central School ,"$3,464","$2,465"
Bangalow Public School ,"$8,512",$0
Bangor Public School ,"$7,931",$0
Banks Public School ,$125,$0
Banksia Road Public School ,"$3,280",$0
Banksmeadow Public School ,"$3,495","$15,085"
Bankstown Girls High School ,"$24,265","$21,326"
Bankstown Hospital School ,$0,$0
Bankstown North Public School ,"$8,275",$0
Bankstown Public School ,"$5,565",$0
Bankstown Senior College ,"$30,234","$14,478"
Bankstown South Infants School ,"$3,444",$0
Bankstown West Public School ,"$8,655","$1,026"
Banora Point High School ,"$13,562","$19,303"
Banora Point Public School ,"$15,171",$0
Baradine Central School ,$977,"$2,130"
Bardwell Park Infants School ,"$2,000",$0
Barellan Central School ,$760,$0
Bargo Public School ,"$6,875",$0
Barham High School ,"$8,561","$13,285"
Barham Public School ,"$3,498",$0
Barkers Vale Public School ,$0,$0
Barmedman Public School ,$0,$0
Barnier Public School ,"$26,536",$0
Barnsley Public School ,"$4,320",$0
Barooga Public School ,$0,$0
Barraba Central School ,$630,"$2,250"
Barrack Heights Public School ,$785,$0
Barrenjoey High School ,"$24,690","$204,044"
Barrington Public School ,"$2,355",$0
Barwon Learning Centre ,$0,$0
Baryulgil Public School ,$0,$0
Bass High School ,"$4,375","$30,474"
Bass Hill Public School ,"$1,420","$1,750"
Bateau Bay Public School ,$0,$0
Batemans Bay High School ,"$11,097","$14,972"
Batemans Bay Public School ,"$1,369",$0
Bates Drive School ,"$6,118",$0
Bathurst Public School ,"$9,405","$9,788"
Bathurst South Public School ,$0,$0
Bathurst West Public School ,"$2,232",$0
Batlow Technology School ,"$1,920","$1,980"
Baulkham Hills High School ,"$310,317","$129,376"
Baulkham Hills North Public School ,"$84,165","$7,981"
Beacon Hill Public School ,"$49,662",$0
Beaumont Hills Public School ,"$38,977",$0
Beaumont Road Public School ,$0,$0
Beauty Point Public School ,"$48,573",$0
Beckom Public School ,$0,$0
Bedgerebong Public School ,$0,$0
Beechwood Public School ,"$2,330",$0
Beecroft Public School ,"$25,177","$86,406"
Beelbangera Public School ,"$1,775",$0
Bega High School ,"$27,344","$47,143"
Bega Valley Public School ,"$1,940",$0
Belair Public School ,"$10,266",$0
Bellambi Public School ,$0,$0
Bellata Public School ,$0,$0
Bellbird Public School ,"$1,010",$0
Bellbrook Public School ,$0,$0
Bellevue Hill Public School ,$0,"$171,143"
Bellingen High School ,"$8,034","$45,502"
Bellingen Public School ,"$9,556",$0
Belltrees Public School ,$240,$0
Belmont High School ,"$23,224","$69,390"
Belmont North Public School ,"$2,789",$0
Belmont Public School ,$0,$0
Belmore Boys High School ,"$4,458","$8,958"
Belmore North Public School ,"$11,179",$0
Belmore South Public School ,$0,"$15,130"
Belrose Public School ,"$4,336","$14,832"
Bemboka Public School ,$0,$0
Ben Lomond Public School ,$405,$0
Ben Venue Public School ,"$9,857",$0
Bendemeer Public School ,$460,$0
Bennett Road Public School ,"$2,409",$0
Berala Public School ,$0,$0
Beresfield Public School ,$0,"$5,436"
Beresford Road Public School ,"$7,202",$0
Berinba Public School ,$0,$0
Berkeley Public School ,$0,$0
Berkeley Vale Public School ,$0,"$52,395"
Berkeley West Public School ,$0,$0
Bermagui Public School ,"$1,850",$0
Berowra Public School ,"$26,528",$0
Berridale Public School ,$0,$0
Berrigan Public School ,"$1,195",$415
Berrima Public School ,"$3,566",$0
Berry Public School ,"$8,296",$318
Bert Oldfield Public School ,"$11,015",$45
Beverley Park School ,"$1,526","$4,438"
Beverly Hills Girls High School ,"$43,705","$87,610"
Beverly Hills Intensive English Centre ,"$2,840",$0
Beverly Hills North Public School ,"$11,246",$0
Beverly Hills Public School ,"$10,288",$0
Bexhill Public School ,"$5,809",$0
Bexley North Public School ,"$21,529","$22,436"
Bexley Public School ,"$3,995",$0
Bibbenluke Public School ,$0,$0
Biddabah Public School ,"$8,591",$0
Bidwill Public School ,$0,$0
Bigga Public School ,$0,$0
Bilambil Public School ,"$6,368","$11,480"
Bilgola Plateau Public School ,"$26,261","$27,164"
Billabong High School ,"$11,976","$23,392"
Bilpin Public School ,"$1,680",$0
Binalong Public School ,"$6,337",$0
Binda Public School ,$0,$0
Bingara Central School ,$0,"$2,140"
Binnaway Central School ,$220,"$1,699"
Binya Public School ,$540,$0
Biraban Public School ,"$1,055",$0
Birchgrove Public School ,"$10,775","$19,100"
Birrong Boys High School ,"$3,983","$8,809"
Birrong Girls High School ,"$38,360","$50,559"
Birrong Public School ,$0,$0
Black Hill Public School ,"$2,402",$0
Black Mountain Public School ,$0,$865
Black Springs Public School ,$255,$0
Blackalls Park Public School ,"$8,300",$0
Blackett Public School ,$0,$0
Blackheath Public School ,"$8,590",$0
Blacksmiths Public School ,"$2,270",$0
Blacktown Boys High School ,"$18,745","$23,882"
Blacktown Girls High School ,"$19,773","$52,946"
Blacktown North Public School ,"$10,710",$0
Blacktown South Public School ,"$18,675",$0
Blacktown West Public School ,"$15,119",$0
Blackville Public School ,$0,$0
Blackwell Public School ,$0,"$1,950"
Blairmount Public School ,$0,$0
Blakebrook Public School ,"$1,287","$1,201"
Blakehurst High School ,"$46,963","$85,336"
Blakehurst Public School ,"$2,855","$41,523"
Blandford Public School ,$0,$0
Blaxcell Street Public School ,"$3,011","$3,339"
Blaxland East Public School ,"$10,780",$0
Blaxland High School ,"$64,648","$125,915"
Blaxland Public School ,"$4,143",$0
Blayney High School ,"$11,408","$34,792"
Blayney Public School ,"$4,200",$0
Bletchington Public School ,"$14,311","$20,560"
Bligh Park Public School ,"$2,109",$0
Blighty Public School ,$0,$0
Blue Haven Public School ,$0,$0
Boambee Public School ,$0,$0
Bobin Public School ,$0,$0
Bobs Farm Public School ,"$1,112","$1,579"
Bodalla Public School ,$0,$0
Bogan Gate Public School ,$0,$0
Bogangar Public School ,"$6,175",$0
Boggabilla Central School ,"$4,450","$3,744"
Boggabri Public School ,"$1,580",$0
Bolwarra Public School ,"$13,486",$0
Bomaderry High School ,"$17,257","$49,362"
Bomaderry Public School ,"$1,757",$54
Bombala High School ,"$3,502","$4,215"
Bombala Public School ,$0,$0
Bonalbo Central School ,"$1,060","$3,808"
Bondi Beach Public School ,"$10,630",$0
Bondi Public School ,"$17,771","$161,346"
Bongongo Public School ,$0,$0
Bonnells Bay Public School ,"$3,625",$0
Bonnet Bay Public School ,"$10,062",$0
Bonnyrigg Heights Public School ,"$22,285",$0
Bonnyrigg High School ,"$29,827","$105,304"
Bonnyrigg Public School ,$0,$0
Bonshaw Public School ,$0,"$2,900"
Bonville Public School ,"$1,603",$0
Boolaroo Public School ,$0,$0
Booligal Public School ,$0,$0
Boomi Public School ,"$1,350",$0
Booragul Public School ,$0,$0
Booral Public School ,$760,$0
Boorowa Central School ,"$4,590","$13,415"
Boree Creek Public School ,$0,$0
Borenore Public School ,"$2,811",$0
Boronia Park Public School ,"$17,228","$67,648"
Bossley Park High School ,"$110,790","$213,708"
Bossley Park Public School ,"$8,020",$0
Botany Bay Environmental Education Centre ,$0,$0
Botany Public School ,"$8,094",$0
Bourke High School ,"$6,318",$0
Bourke Public School ,$0,$0
Bourke Street Public School ,"$41,150",$0
Bourke-Walgett School of Distance Education - Bourke Campus ,$440,$0
Bournda Environmental Education Centre ,"$29,274",$0
Bowen Public School ,$210,$0
Bowning Public School ,$0,$0
Bowral High School ,"$40,368","$61,162"
Bowral Public School ,$0,$0
Bowraville Central School ,"$5,365","$3,358"
Bradbury Public School ,$598,$0
Braddock Public School ,"$1,050",$0
Bradfordville Public School ,$0,"$1,975"
Braidwood Central School ,"$9,538","$4,230"
Branxton Public School ,"$5,748",$0
Breadalbane Public School ,$0,$0
Bredbo Public School ,$0,$0
Brewarrina Central School ,"$4,290",$336
Brewongle Environmental Education Centre ,$0,$0
Briar Road Public School ,$882,$0
Bribbaree Public School ,$0,$0
Bridge Road School ,$35,$0
Brighton-Le-Sands Public School ,"$13,617","$28,040"
Bringelly Public School ,"$2,260",$0
Brisbane Water Secondary College Umina Campus ,"$26,096","$61,902"
Brisbane Water Secondary College Woy Woy Campus ,"$21,343","$33,778"
Brisbania Public School ,"$6,423",$0
Broadwater Public School ,$340,$0
Brocklesby Public School ,$360,$0
Broderick Gillawarna School ,"$1,925",$0
Broke Public School ,$820,$0
Broken Hill High School ,"$17,040","$22,990"
Broken Hill North Public School ,$0,$0
Broken Hill Public School ,"$1,860",$0
Bronte Public School ,"$39,746","$38,064"
Brooke Avenue Public School ,"$1,632",$0
Brooklyn Public School ,"$6,685",$0
Brookvale Public School ,"$10,861",$0
Broulee Public School ,"$9,891",$0
Brungle Public School ,$0,$0
Brunswick Heads Public School ,"$1,995",$0
Budawang School ,$0,$0
Budgewoi Public School ,"$5,696",$0
Bulahdelah Central School ,"$5,468","$25,101"
Bullarah Public School ,$0,$0
Bulli High School ,"$66,362","$63,004"
Bulli Public School ,$0,$0
Bullimbal School ,$0,$190
Bundanoon Public School ,"$3,648",$0
Bundarra Central School ,"$1,505","$1,411"
Bundeena Public School ,"$15,406",$0
Bungendore Public School ,"$8,530",$0
Bungwahl Public School ,$0,"$1,173"
Buninyong Public School ,$877,"$2,266"
Bunnaloo Public School ,$0,$0
Burke Ward Public School ,"$2,990",$0
Burnside Public School ,"$8,140",$0
Buronga Public School ,$0,$0
Burraga Public School ,$0,$0
Burraneer Bay Public School ,"$20,830","$37,160"
Burrawang Public School ,$482,$0
Burren Junction Public School ,"$4,730",$0
Burringbar Public School ,"$1,605",$0
Burrumbuttock Public School ,"$1,440",$0
Burwood Girls High School ,"$63,111","$101,060"
Burwood Public School ,"$26,278","$53,646"
Busby Public School ,$110,$0
Busby West Public School ,"$3,505",$0
Buxton Public School ,"$1,336",$0
Bylong Upper Public School ,$0,$0
Byron Bay High School ,"$42,426","$91,076"
Byron Bay Public School ,"$54,585",$0
Cabbage Tree Island Public School ,$55,$0
Cabramatta High School ,"$69,600","$55,938"
Cabramatta Public School ,$0,$0
Cabramatta West Public School ,"$4,558",$0
Cabramurra Public School ,$0,$0
Caddies Creek Public School ,"$20,761",$0
Cairnsfoot School ,"$3,560","$1,139"
Calare Public School ,$0,$52
Caldera School ,$0,$0
Callaghan College Jesmond Campus ,"$175,896","$10,680"
Callaghan College Wallsend Campus ,"$30,788","$73,899"
Callaghan College Waratah Technology Campus ,"$18,609","$23,371"
Callala Public School ,"$2,856",$0
Cambewarra Public School ,"$7,770",$0
Cambridge Gardens Public School ,"$5,617",$0
Cambridge Park High School ,"$3,506","$29,249"
Cambridge Park Public School ,"$2,827","$1,650"
Camden Haven High School ,"$41,405","$81,992"
Camden High School ,"$30,580","$87,988"
Camden Park Environmental Education Centre ,$0,$0
Camden Public School ,"$5,893",$0
Camden South Public School ,"$10,945",$0
Camdenville Public School ,"$9,030",$0
Cammeray Public School ,$0,"$8,851"
Cammeraygal High School ,$300,"$35,528"
Campbell House School ,$0,"$2,285"
Campbellfield Public School ,$0,$0
Campbelltown East Public School ,$0,$0
Campbelltown North Public School ,"$2,368","$1,870"
Campbelltown Performing Arts High School ,"$21,227","$98,369"
Campbelltown Public School ,$330,$0
Campsie Public School ,"$69,143",$0
Candelo Public School ,$914,$408
Caniaba Public School ,"$1,065",$0
Canley Heights Public School ,"$4,375",$0
Canley Vale High School ,"$107,130","$84,006"
Canley Vale Public School ,$0,$0
Canobolas Public School ,$0,$0
Canobolas Rural Technology High School ,$50,"$36,345"
Canowindra High School ,"$12,054","$12,034"
Canowindra Public School ,"$4,615",$0
Canterbury Boys High School ,$0,"$28,382"
Canterbury Girls High School ,"$30,652","$58,805"
Canterbury Public School ,"$5,683",$360
Canterbury South Public School ,"$7,800",$0
Canterbury Vale School ,$320,$0
Capertee Public School ,$0,$0
Captains Flat Public School ,$700,$0
Caragabal Public School ,$0,$0
Carcoar Public School ,$0,$0
Cardiff High School ,"$17,130","$63,738"
Cardiff North Public School ,"$3,853","$1,840"
Cardiff Public School ,"$4,695",$0
Cardiff South Public School ,"$13,614",$0
Carenne School ,"$3,592",$0
Cargo Public School ,$530,$0
Carinda Public School ,$0,$0
Caringbah High School ,"$88,436","$109,634"
Caringbah North Public School ,"$19,792",$0
Caringbah Public School ,"$24,639",$0
Carinya School ,$0,$0
Carlingford High School ,"$241,923","$160,788"
Carlingford Public School ,$0,"$20,565"
Carlingford West Public School ,$0,$0
Carlton Public School ,"$57,677","$31,943"
Carlton South Public School ,"$22,599",$0
Caroline Chisholm School ,$0,"$3,586"
Carool Public School ,$385,$126
Carramar Public School ,"$1,350",$0
Carrathool Public School ,$240,$0
Carrington Public School ,"$1,905",$0
Carroll Public School ,$0,$0
Cartwright Public School ,$0,$0
Cascade Environmental Education Centre ,$0,$0
Casino High School ,"$13,355","$34,527"
Casino Public School ,"$5,486",$0
Casino West Public School ,$982,$0
Cassilis Public School ,$30,$0
Castle Cove Public School ,"$16,251","$7,497"
Castle Hill High School ,"$44,637","$275,472"
Castle Hill Public School ,$0,$0
Castlereagh Public School ,"$2,244",$0
Casuarina School ,$0,$0
Casula High School ,"$10,734","$29,404"
Casula Public School ,"$6,939","$1,252"
Cattai Public School ,"$3,080","$1,581"
Caves Beach Public School ,$0,$0
Cawdor Public School ,"$1,956",$0
Cecil Hills High School ,"$55,776","$166,018"
Cecil Hills Public School ,"$18,925",$0
Centaur Public School ,"$2,568",$0
Centennial Park School ,$0,$0
Central Mangrove Public School ,"$3,003",$0
Central Tilba Public School ,"$1,200",$0
Cessnock East Public School ,$0,$0
Cessnock High School ,"$1,530","$23,199"
Cessnock Public School ,"$3,252",$0
Cessnock West Public School ,"$5,125",$0
Chalmers Road School ,"$2,388","$3,234"
Chandler Public School ,$0,$0
Charlestown East Public School ,"$4,237","$4,733"
Charlestown Public School ,"$1,615",$0
Charlestown South Public School ,"$3,904","$5,240"
Chatham High School ,"$11,829","$32,183"
Chatham Public School ,$460,$0
Chatswood High School ,"$259,056","$87,821"
Chatswood Intensive English Centre ,"$31,858",$0
Chatswood Public School ,$0,"$160,747"
Chatsworth Island Public School ,$0,$0
Cheltenham Girls High School ,"$137,196","$197,029"
Cherrybrook Public School ,"$63,158",$0
Cherrybrook Technology High School ,"$297,979","$128,371"
Chertsey Primary School ,$0,$0
Chester Hill High School ,"$32,153","$92,421"
Chester Hill Intensive English Centre ,$0,$0
Chester Hill North Public School ,$0,$0
Chester Hill Public School ,"$4,922",$0
Chifley College Bidwill Campus ,$0,"$21,322"
Chifley College Dunheved Campus ,"$2,475","$14,504"
Chifley College Mount Druitt Campus ,$0,"$28,768"
Chifley College Senior Campus ,"$31,592","$38,336"
Chifley College Shalvey Campus ,"$3,742","$9,361"
Chifley Public School ,"$3,775",$0
Chillingham Public School ,$0,$0
Chipping Norton Public School ,"$15,235",$0
Chittaway Bay Public School ,"$21,245",$0
Chullora Public School ,"$1,468","$5,477"
Clairgate Public School ,"$4,969",$0
Clare Public School ,$0,$0
Claremont Meadows Public School ,"$7,367",$0
Clarence Town Public School ,"$1,576",$0
Clarke Road School ,"$3,450","$13,699"
Claymore Public School ,$160,$0
Clemton Park Public School ,"$19,663","$2,580"
Clergate Public School ,"$2,030",$0
Cleveland Street Intensive English High School ,$0,$0
Clovelly Public School ,"$63,370","$41,948"
Clunes Public School ,"$1,917",$0
Coal Point Public School ,"$10,207",$0
Cobar High School ,"$4,808","$17,376"
Cobar Public School ,"$1,015",$0
Cobargo Public School ,$535,$0
Cobbitty Public School ,"$5,438",$0
Coffee Camp Public School ,"$1,610",$0
Coffs Harbour High School ,"$17,786","$58,195"
Coffs Harbour Learning Centre ,$0,$83
Coffs Harbour Public School ,"$1,275",$0
Coffs Harbour Senior College ,"$20,278","$17,170"
Coleambally Central School ,"$4,598","$4,655"
Coledale Public School ,"$2,696",$0
Collarenebri Central School ,$0,$0
Collaroy Plateau Public School ,"$103,186",$0
Collector Public School ,$0,$620
Collingullie Public School ,$0,$0
Collins Creek Public School ,"$1,392",$0
Colo Heights Public School ,$0,"$3,094"
Colo High School ,"$31,215","$104,362"
Colo Vale Public School ,"$3,588",$0
Colyton High School ,"$12,045","$44,320"
Colyton Public School ,"$1,947",$0
Comboyne Public School ,$380,$0
Comleroy Road Public School ,$90,$0
Como Public School ,"$3,474",$0
Como West Public School ,"$14,486",$0
Conargo Public School ,$0,$0
Concord High School ,"$93,581","$74,200"
Concord Public School ,"$13,780",$0
Concord West Public School ,"$11,475","$35,493"
Condell Park High School ,$563,"$84,510"
Condell Park Public School ,"$6,484","$30,203"
Condobolin High School ,"$3,427","$7,783"
Condobolin Public School ,"$2,505",$0
Condong Public School ,"$1,632",$0
Congewai Public School ,$80,$0
Coniston Public School ,$0,$0
Connells Point Public School ,"$20,120",$0
Conservatorium High School ,$0,"$15,825"
Cooerwull Public School ,"$4,394",$0
Coogee Public School ,"$17,115","$84,984"
Cook School ,$0,$334
Coolah Central School ,"$2,840","$9,339"
Coolamon Central School ,"$8,935","$5,193"
Coolongolook Public School ,$200,$0
Cooma North Public School ,"$1,963",$0
Cooma Public School ,"$3,956",$0
Coomealla High School ,"$8,544","$19,544"
Coonabarabran High School ,"$9,585","$6,662"
Coonabarabran Public School ,"$2,940",$0
Coonamble High School ,"$1,271","$3,350"
Coonamble Public School ,$20,$0
Coopernook Public School ,$120,$0
Coorabell Public School ,"$2,485","$7,383"
Cooranbong Public School ,"$1,544",$0
Cootamundra High School ,"$3,495","$5,126"
Cootamundra Public School ,$0,$0
Copacabana Public School ,"$5,822","$4,045"
Copmanhurst Public School ,$680,$0
Coraki Public School ,$215,$0
Coramba Public School ,$500,$0
Coreen School ,$0,$0
Corindi Public School ,"$1,408",$0
Corinella Public School ,$0,$0
Corndale Public School ,$55,$0
Corowa High School ,"$17,279","$17,062"
Corowa Public School ,"$4,354",$0
Corowa South Public School ,$625,$160
Corrimal East Public School ,"$4,195",$0
Corrimal High School ,"$7,437","$4,188"
Corrimal Public School ,"$2,010",$0
Coutts Crossing Public School ,"$1,287",$0
Cowan Public School ,"$1,379","$2,477"
Cowper Public School ,$0,$0
Cowra High School ,"$14,121","$30,148"
Cowra Public School ,"$3,942",$0
Crabbes Creek Public School ,$690,$589
Cranebrook High School ,"$11,046","$29,395"
Crawford Public School ,"$1,545",$0
Crescent Head Public School ,"$3,525",$0
Crestwood High School ,"$78,552","$163,484"
